scope,config,capture_pct,ind_mpki,speedup
all/all,ittage64,81.46,0.2686,1.0174
all/all,blbp64_untuned,66.61,0.401,1.0133
all/all,blbp64_tuned,72.25,0.3507,1.0146
spec/train,ittage64,86.44,0.0995,1.0078
spec/train,blbp64_untuned,80.57,0.1184,1.0072
spec/train,blbp64_tuned,84.25,0.1065,1.0074
spec/test,ittage64,97.78,0.0248,1.0156
spec/test,blbp64_untuned,98.35,0.022,1.0157
spec/test,blbp64_tuned,98.48,0.0213,1.0157
agentic/train,ittage64,80.62,0.4456,1.0221
agentic/train,blbp64_untuned,66.97,0.6205,1.0172
agentic/train,blbp64_tuned,72.84,0.5453,1.0189
agentic/test,ittage64,73.7,0.4654,1.0217
agentic/test,blbp64_untuned,46.62,0.8443,1.0118
agentic/test,blbp64_tuned,55.05,0.7263,1.0144
