"generation","best_mispredicts","reduction_pct"
0,2339594,0
1,2171684,7.177
2,2150926,8.064
3,2124594,9.19
4,2085606,10.856
5,2069593,11.541
6,2059107,11.989
7,2047816,12.471
8,2039477,12.828
9,2028692,13.289
10,2022934,13.535
11,2019410,13.685
12,2012776,13.969
13,2007533,14.193
14,1999432,14.539
15,1995495,14.708
16,1992242,14.847
17,1980121,15.365
18,1963876,16.059
19,1960121,16.22
20,1958430,16.292
21,1956651,16.368
22,1954737,16.45
23,1953596,16.499
24,1952774,16.534
25,1950552,16.629
26,1947626,16.754
27,1945777,16.833
28,1945739,16.834
29,1944437,16.89
30,1943663,16.923
31,1941461,17.017
32,1939332,17.108
33,1935031,17.292
34,1931019,17.464
35,1929199,17.541
