config,trace,instr,cycles,BRANCH_DIRECT_JUMP_mpki,BRANCH_INDIRECT_mpki,BRANCH_CONDITIONAL_mpki,BRANCH_DIRECT_CALL_mpki,BRANCH_INDIRECT_CALL_mpki,BRANCH_RETURN_mpki,BRANCH_DIRECT_JUMP_count,BRANCH_INDIRECT_count,BRANCH_CONDITIONAL_count,BRANCH_DIRECT_CALL_count,BRANCH_INDIRECT_CALL_count,BRANCH_RETURN_count
blbp64_tuned,706.stockfish_r.sp0,200000000,138632412,0.000965,0.07551,4.868,0.01184,0.00014,0.03401,2009566,192645,15203047,1648859,4237,1653096
blbp64_tuned,706.stockfish_r.sp1,200000003,145490257,8.5e-05,0.1005,5.571,0.00631,5e-06,0.04018,1890249,209929,15908622,1658393,11,1658390
blbp64_tuned,706.stockfish_r.sp2,200000001,140969199,8.5e-05,0.08946,4.855,0.00791,0,0.01865,1885935,181712,15526242,1495433,0,1495426
blbp64_tuned,707.ntest_r.sp0,200000001,111475008,5e-06,0,2.187,0,0,0.02058,1193798,3554,9902725,2792298,0,2792293
blbp64_tuned,707.ntest_r.sp1,200000004,112078293,3.5e-05,0,2.33,5e-06,0,0.02708,1102657,4064,8753593,2555805,10,2555832
blbp64_tuned,707.ntest_r.sp2,200000004,113051793,5.5e-05,0,0.6586,3e-05,0,0.00189,925054,2933,5627153,2141141,6,2141133
blbp64_tuned,708.sqlite_r.sp0,200000000,174681938,1e-05,0,0.02135,5e-06,0,5e-06,8394659,3043112,23399662,1147718,393457,1541175
blbp64_tuned,708.sqlite_r.sp1,200000004,172167662,0.00261,0.04761,2.014,0.001505,0.000315,0.104,3689725,1701518,27818776,2489608,799833,3289443
blbp64_tuned,708.sqlite_r.sp2,200000002,112642216,0.00099,0.01439,0.6083,5e-06,0,0.004,4870805,2002843,30168925,1496289,528775,2025065
blbp64_tuned,710.omnetpp_r.sp0,200000002,189741636,0.00121,0,6.895,4.5e-05,0.000375,0.00172,561500,613960,44860635,778398,407807,1186205
blbp64_tuned,710.omnetpp_r.sp2,200000003,245372049,0.8163,0.00022,2.675,0.0176,0.8086,1.029,2569700,1730054,21604710,3392407,2679525,6071927
blbp64_tuned,714.cpython_r.sp0,200000004,94954524,0.00054,0.00056,0.003455,0.00014,0.00014,0.000955,3561122,3085338,25261156,2806017,562356,3368371
blbp64_tuned,714.cpython_r.sp1,200000001,96966974,0.3232,3e-05,0.9699,0.08081,0,0.4847,3296169,2052009,27904125,3344642,484732,3829365
blbp64_tuned,721.gcc_r.sp1,200000001,155612218,0.133,0.0525,4.036,0.06978,0.04613,0.2615,3000985,358968,29282270,3165607,283659,3449273
blbp64_tuned,723.llvm_r.sp1,200000001,150610734,0.6332,0.3193,7.382,1.176,0.08004,0.5431,2945746,804418,27258443,4535660,158516,4694183
blbp64_tuned,723.llvm_r.sp2,200000003,106044244,0.03164,0.06489,0.7407,0.000365,1e-05,0.00145,1774234,978910,23664945,5607478,7958,5615436
blbp64_tuned,727.cppcheck_r.sp1,200000004,365472736,0.02997,0.00088,0.2722,0.00611,0.000795,0.05365,2783886,1874956,38324849,4049222,97085,4146302
blbp64_tuned,727.cppcheck_r.sp2,200000001,154072718,0.00059,1e-05,0.1781,0.00028,5e-06,0.00026,1633648,401871,44570339,3204586,11486,3216072
blbp64_tuned,729.abc_r.sp0,200000003,162444024,0.000105,0,11,1.5e-05,0,1.5e-05,3801460,2539,27530713,21062,0,21061
blbp64_tuned,729.abc_r.sp2,200000004,163085895,0.00013,1.5e-05,8.604,7e-05,0,6.5e-05,3539197,1181,28876751,7990,0,7990
blbp64_tuned,734.vpr_r.sp0,200000000,94485461,1e-05,0,2.192,0,0,5e-06,894270,1,42531436,561738,0,561738
blbp64_tuned,734.vpr_r.sp1,200000003,367604555,0.1059,0.004225,2.066,0.00068,1.5e-05,0.000795,2268056,2472799,31495203,3709136,31346,3740500
blbp64_tuned,735.gem5_r.sp1,200000004,132989500,0.08124,0.00181,0.6343,0.008835,0.09188,1.113,2872711,1730192,26584635,3133383,724627,3858014
blbp64_tuned,750.sealcrypto_r.sp0,200000000,96359493,6e-05,1e-05,0.0788,0.000245,3e-05,0.00026,469742,186007,2752435,929839,422,930259
blbp64_tuned,750.sealcrypto_r.sp1,200000003,106499209,9.5e-05,1e-05,0.2464,0.00054,5e-05,0.000545,474975,196732,2769842,983448,332,983779
blbp64_tuned,750.sealcrypto_r.sp2,200000003,99129814,0.000235,4e-05,0.00597,0.000645,5.5e-05,0.000675,645729,245914,3178315,1229390,478,1229873
