"benchmark","config","label","n","value"
"706.stockfish_r","cbp_ddtage","DD-TAGE (Ros)",3,4.93396973241961
"706.stockfish_r","cbp_runlts_rv","RUNLTS (load RV)",3,6.90591491598146
"707.ntest_r","cbp_ddtage","DD-TAGE (Ros)",3,12.2566334604027
"707.ntest_r","cbp_runlts_rv","RUNLTS (load RV)",3,15.8173066382136
"708.sqlite_r","cbp_ddtage","DD-TAGE (Ros)",3,10.3632617780591
"708.sqlite_r","cbp_runlts_rv","RUNLTS (load RV)",3,-20.2263736755689
"710.omnetpp_r","cbp_ddtage","DD-TAGE (Ros)",2,3.33749533651727
"710.omnetpp_r","cbp_runlts_rv","RUNLTS (load RV)",2,3.03237936917874
"714.cpython_r","cbp_ddtage","DD-TAGE (Ros)",2,0
"714.cpython_r","cbp_runlts_rv","RUNLTS (load RV)",2,0.00619866715394653
"721.gcc_r","cbp_ddtage","DD-TAGE (Ros)",1,7.41129540205752
"721.gcc_r","cbp_runlts_rv","RUNLTS (load RV)",1,6.94940163762334
"723.llvm_r","cbp_ddtage","DD-TAGE (Ros)",2,13.0377187679117
"723.llvm_r","cbp_runlts_rv","RUNLTS (load RV)",2,12.9313150081613
"727.cppcheck_r","cbp_ddtage","DD-TAGE (Ros)",2,5.74933090577499
"727.cppcheck_r","cbp_runlts_rv","RUNLTS (load RV)",2,17.231935791199
"729.abc_r","cbp_ddtage","DD-TAGE (Ros)",2,1.46443162695298
"729.abc_r","cbp_runlts_rv","RUNLTS (load RV)",2,2.37316038556835
"734.vpr_r","cbp_ddtage","DD-TAGE (Ros)",2,1.58486022738569
"734.vpr_r","cbp_runlts_rv","RUNLTS (load RV)",2,2.32261273363564
"735.gem5_r","cbp_ddtage","DD-TAGE (Ros)",1,2.78603268945023
"735.gem5_r","cbp_runlts_rv","RUNLTS (load RV)",1,3.30609212481426
"750.sealcrypto_r","cbp_ddtage","DD-TAGE (Ros)",3,35.9342733590827
"750.sealcrypto_r","cbp_runlts_rv","RUNLTS (load RV)",3,59.5245264214748
"753.ns3_r","cbp_ddtage","DD-TAGE (Ros)",3,4.505272238125
"753.ns3_r","cbp_runlts_rv","RUNLTS (load RV)",3,4.90141922586473
"777.zstd_r","cbp_ddtage","DD-TAGE (Ros)",3,0.295677195148135
"777.zstd_r","cbp_runlts_rv","RUNLTS (load RV)",3,0.555706114401547
"AVG","cbp_ddtage","DD-TAGE (Ros)",14,7.40430376566341
"AVG","cbp_runlts_rv","RUNLTS (load RV)",14,8.25939966840727
