"benchmark","config","label","n","value"
"706.stockfish_r","cbp_ddtage","DD-TAGE (Ros)",3,1.66079814291887
"706.stockfish_r","cbp_runlts_rv","RUNLTS (load RV)",3,2.04033715554712
"707.ntest_r","cbp_ddtage","DD-TAGE (Ros)",3,8.88660382123751
"707.ntest_r","cbp_runlts_rv","RUNLTS (load RV)",3,10.252527500289
"708.sqlite_r","cbp_ddtage","DD-TAGE (Ros)",3,9.608112386429
"708.sqlite_r","cbp_runlts_rv","RUNLTS (load RV)",3,-22.8942834726401
"710.omnetpp_r","cbp_ddtage","DD-TAGE (Ros)",2,2.24899479752876
"710.omnetpp_r","cbp_runlts_rv","RUNLTS (load RV)",2,1.95573118995169
"714.cpython_r","cbp_ddtage","DD-TAGE (Ros)",2,0.00394806180585361
"714.cpython_r","cbp_runlts_rv","RUNLTS (load RV)",2,0.00558506304242679
"721.gcc_r","cbp_ddtage","DD-TAGE (Ros)",1,3.17111783989829
"721.gcc_r","cbp_runlts_rv","RUNLTS (load RV)",1,3.09953603572942
"723.llvm_r","cbp_ddtage","DD-TAGE (Ros)",2,7.837431893023
"723.llvm_r","cbp_runlts_rv","RUNLTS (load RV)",2,7.77818745580073
"727.cppcheck_r","cbp_ddtage","DD-TAGE (Ros)",2,5.88663990055695
"727.cppcheck_r","cbp_runlts_rv","RUNLTS (load RV)",2,19.6408190227756
"729.abc_r","cbp_ddtage","DD-TAGE (Ros)",2,0.678163332490523
"729.abc_r","cbp_runlts_rv","RUNLTS (load RV)",2,1.14334755167626
"734.vpr_r","cbp_ddtage","DD-TAGE (Ros)",2,1.61720373758784
"734.vpr_r","cbp_runlts_rv","RUNLTS (load RV)",2,2.87763667818774
"735.gem5_r","cbp_ddtage","DD-TAGE (Ros)",1,1.94484192134475
"735.gem5_r","cbp_runlts_rv","RUNLTS (load RV)",1,2.51479869259386
"750.sealcrypto_r","cbp_ddtage","DD-TAGE (Ros)",3,23.9179918786706
"750.sealcrypto_r","cbp_runlts_rv","RUNLTS (load RV)",3,52.2602315590454
"753.ns3_r","cbp_ddtage","DD-TAGE (Ros)",3,3.09266384192464
"753.ns3_r","cbp_runlts_rv","RUNLTS (load RV)",3,3.24282043490735
"777.zstd_r","cbp_ddtage","DD-TAGE (Ros)",3,0.0916337301873693
"777.zstd_r","cbp_runlts_rv","RUNLTS (load RV)",3,0.108543157950299
"AVG","cbp_ddtage","DD-TAGE (Ros)",14,5.046153234686
"AVG","cbp_runlts_rv","RUNLTS (load RV)",14,6.00184414463263
