"item","label","n","value"
"abc.sp0","TAGE-SC-L 192KB",1,1.4819
"abc.sp0","DD-TAGE (Ros)",1,1.213
"abc.sp0","RUNLTS (no RV)",1,2.1115
"abc.sp0","RUNLTS (load RV)",1,2.1248
"abc.sp2","TAGE-SC-L 192KB",1,2.7066
"abc.sp2","DD-TAGE (Ros)",1,2.6166
"abc.sp2","RUNLTS (no RV)",1,3.5837
"abc.sp2","RUNLTS (load RV)",1,3.529
"cppcheck.sp1","TAGE-SC-L 192KB",1,12.7702
"cppcheck.sp1","DD-TAGE (Ros)",1,18.2155
"cppcheck.sp1","RUNLTS (no RV)",1,20.0752
"cppcheck.sp1","RUNLTS (load RV)",1,19.7191
"cppcheck.sp2","TAGE-SC-L 192KB",1,5.1098
"cppcheck.sp2","DD-TAGE (Ros)",1,9.1962
"cppcheck.sp2","RUNLTS (no RV)",1,29.5757
"cppcheck.sp2","RUNLTS (load RV)",1,29.3105
"cpython.sp0","TAGE-SC-L 192KB",1,-2.0057
"cpython.sp0","DD-TAGE (Ros)",1,6.0172
"cpython.sp0","RUNLTS (no RV)",1,23.4957
"cpython.sp0","RUNLTS (load RV)",1,23.4957
"cpython.sp1","TAGE-SC-L 192KB",1,1.1111
"cpython.sp1","DD-TAGE (Ros)",1,0
"cpython.sp1","RUNLTS (no RV)",1,-1.1111
"cpython.sp1","RUNLTS (load RV)",1,-1.1111
"gcc.sp1","TAGE-SC-L 192KB",1,10.4794
"gcc.sp1","DD-TAGE (Ros)",1,11.582
"gcc.sp1","RUNLTS (no RV)",1,11.0568
"gcc.sp1","RUNLTS (load RV)",1,10.8787
"gem5.sp1","TAGE-SC-L 192KB",1,18.1231
"gem5.sp1","DD-TAGE (Ros)",1,22.1886
"gem5.sp1","RUNLTS (no RV)",1,27.0306
"gem5.sp1","RUNLTS (load RV)",1,26.4038
"llvm.sp1","TAGE-SC-L 192KB",1,32.1798
"llvm.sp1","DD-TAGE (Ros)",1,33.5691
"llvm.sp1","RUNLTS (no RV)",1,32.5248
"llvm.sp1","RUNLTS (load RV)",1,32.4512
"llvm.sp2","TAGE-SC-L 192KB",1,3.93
"llvm.sp2","DD-TAGE (Ros)",1,4.3082
"llvm.sp2","RUNLTS (no RV)",1,9.1916
"llvm.sp2","RUNLTS (load RV)",1,8.8345
"ns3.sp0","TAGE-SC-L 192KB",1,29.2254
"ns3.sp0","DD-TAGE (Ros)",1,29.1597
"ns3.sp0","RUNLTS (no RV)",1,32.4066
"ns3.sp0","RUNLTS (load RV)",1,31.3973
"ns3.sp1","TAGE-SC-L 192KB",1,28.1165
"ns3.sp1","DD-TAGE (Ros)",1,32.5536
"ns3.sp1","RUNLTS (no RV)",1,36.5162
"ns3.sp1","RUNLTS (load RV)",1,35.3702
"ns3.sp2","TAGE-SC-L 192KB",1,24.8464
"ns3.sp2","DD-TAGE (Ros)",1,24.07
"ns3.sp2","RUNLTS (no RV)",1,27.4662
"ns3.sp2","RUNLTS (load RV)",1,26.9065
"ntest.sp0","TAGE-SC-L 192KB",1,10.5588
"ntest.sp0","DD-TAGE (Ros)",1,14.3006
"ntest.sp0","RUNLTS (no RV)",1,18.1826
"ntest.sp0","RUNLTS (load RV)",1,18.1235
"ntest.sp1","TAGE-SC-L 192KB",1,7.3188
"ntest.sp1","DD-TAGE (Ros)",1,8.4626
"ntest.sp1","RUNLTS (no RV)",1,12.6854
"ntest.sp1","RUNLTS (load RV)",1,12.445
"ntest.sp2","TAGE-SC-L 192KB",1,1.8433
"ntest.sp2","DD-TAGE (Ros)",1,2.1274
"ntest.sp2","RUNLTS (no RV)",1,3.1352
"ntest.sp2","RUNLTS (load RV)",1,4.0025
"omnetpp.sp0","TAGE-SC-L 192KB",1,19.3064
"omnetpp.sp0","DD-TAGE (Ros)",1,35.471
"omnetpp.sp0","RUNLTS (no RV)",1,30.3554
"omnetpp.sp0","RUNLTS (load RV)",1,30.6195
"omnetpp.sp2","TAGE-SC-L 192KB",1,1.1834
"omnetpp.sp2","DD-TAGE (Ros)",1,0.5437
"omnetpp.sp2","RUNLTS (no RV)",1,1.4458
"omnetpp.sp2","RUNLTS (load RV)",1,1.6245
"sealcrypto.sp0","TAGE-SC-L 192KB",1,87.8969
"sealcrypto.sp0","DD-TAGE (Ros)",1,53.3274
"sealcrypto.sp0","RUNLTS (no RV)",1,87.0333
"sealcrypto.sp0","RUNLTS (load RV)",1,87.0333
"sealcrypto.sp1","TAGE-SC-L 192KB",1,69.488
"sealcrypto.sp1","DD-TAGE (Ros)",1,47.5962
"sealcrypto.sp1","RUNLTS (no RV)",1,71.4532
"sealcrypto.sp1","RUNLTS (load RV)",1,72.3973
"sealcrypto.sp2","TAGE-SC-L 192KB",1,4.321
"sealcrypto.sp2","DD-TAGE (Ros)",1,2.7337
"sealcrypto.sp2","RUNLTS (no RV)",1,14.8148
"sealcrypto.sp2","RUNLTS (load RV)",1,14.8148
"sqlite.sp0","TAGE-SC-L 192KB",1,-11.1241
"sqlite.sp0","DD-TAGE (Ros)",1,19.9297
"sqlite.sp0","RUNLTS (no RV)",1,-53.5831
"sqlite.sp0","RUNLTS (load RV)",1,-53.63
"sqlite.sp1","TAGE-SC-L 192KB",1,3.1396
"sqlite.sp1","DD-TAGE (Ros)",1,2.19
"sqlite.sp1","RUNLTS (no RV)",1,8.3904
"sqlite.sp1","RUNLTS (load RV)",1,9.4675
"sqlite.sp2","TAGE-SC-L 192KB",1,1.7226
"sqlite.sp2","DD-TAGE (Ros)",1,2.2285
"sqlite.sp2","RUNLTS (no RV)",1,2.1459
"sqlite.sp2","RUNLTS (load RV)",1,13.7909
"stockfish.sp0","TAGE-SC-L 192KB",1,5.8152
"stockfish.sp0","DD-TAGE (Ros)",1,5.0347
"stockfish.sp0","RUNLTS (no RV)",1,7.2173
"stockfish.sp0","RUNLTS (load RV)",1,7.3576
"stockfish.sp1","TAGE-SC-L 192KB",1,6.1667
"stockfish.sp1","DD-TAGE (Ros)",1,5.3411
"stockfish.sp1","RUNLTS (no RV)",1,7.5515
