"benchmark","config","value","label"
"706.stockfish_r","cbp_tagescl192",1.00716490632946,"TAGE-SC-L 192KB"
"706.stockfish_r","cbp_ddtage",1.00653463867785,"DD-TAGE (Ros)"
"706.stockfish_r","cbp_runlts_rv",1.00892096340325,"RUNLTS (load RV)"
"706.stockfish_r","cbp_perfdir",1.16733728444474,"Perfect direction"
"706.stockfish_r","cbp_perfall",1.17749344166085,"Perfect direction+target"
"707.ntest_r","cbp_tagescl192",1.00597905991519,"TAGE-SC-L 192KB"
"707.ntest_r","cbp_ddtage",1.00812947347279,"DD-TAGE (Ros)"
"707.ntest_r","cbp_runlts_rv",1.00968104586226,"RUNLTS (load RV)"
"707.ntest_r","cbp_perfdir",1.06610851718173,"Perfect direction"
"707.ntest_r","cbp_perfall",1.06664844336556,"Perfect direction+target"
"708.sqlite_r","cbp_tagescl192",1.00058972351485,"TAGE-SC-L 192KB"
"708.sqlite_r","cbp_ddtage",1.00054551141687,"DD-TAGE (Ros)"
"708.sqlite_r","cbp_runlts_rv",1.00220842361807,"RUNLTS (load RV)"
"708.sqlite_r","cbp_perfdir",1.03418526295632,"Perfect direction"
"708.sqlite_r","cbp_perfall",1.04445252139057,"Perfect direction+target"
"710.omnetpp_r","cbp_tagescl192",1.00425801824723,"TAGE-SC-L 192KB"
"710.omnetpp_r","cbp_ddtage",1.00695961132378,"DD-TAGE (Ros)"
"710.omnetpp_r","cbp_runlts_rv",1.0065077510229,"RUNLTS (load RV)"
"710.omnetpp_r","cbp_perfdir",1.04293836166589,"Perfect direction"
"710.omnetpp_r","cbp_perfall",1.19095374103429,"Perfect direction+target"
"714.cpython_r","cbp_tagescl192",0.999999950874074,"TAGE-SC-L 192KB"
"714.cpython_r","cbp_ddtage",1,"DD-TAGE (Ros)"
"714.cpython_r","cbp_runlts_rv",0.999999950874074,"RUNLTS (load RV)"
"714.cpython_r","cbp_perfdir",1.00011243241306,"Perfect direction"
"714.cpython_r","cbp_perfall",1.13485237795199,"Perfect direction+target"
"721.gcc_r","cbp_tagescl192",1.01061479273517,"TAGE-SC-L 192KB"
"721.gcc_r","cbp_ddtage",1.0115424872019,"DD-TAGE (Ros)"
"721.gcc_r","cbp_runlts_rv",1.01086511910879,"RUNLTS (load RV)"
"721.gcc_r","cbp_perfdir",1.11280882077466,"Perfect direction"
"721.gcc_r","cbp_perfall",1.19690626350776,"Perfect direction+target"
"723.llvm_r","cbp_tagescl192",1.04676910041272,"TAGE-SC-L 192KB"
"723.llvm_r","cbp_ddtage",1.04932284448117,"DD-TAGE (Ros)"
"723.llvm_r","cbp_runlts_rv",1.04774105484171,"RUNLTS (load RV)"
"723.llvm_r","cbp_perfdir",1.19628856789194,"Perfect direction"
"723.llvm_r","cbp_perfall",1.52914005442293,"Perfect direction+target"
"727.cppcheck_r","cbp_tagescl192",1.000501303542,"TAGE-SC-L 192KB"
"727.cppcheck_r","cbp_ddtage",1.00089299624801,"DD-TAGE (Ros)"
