"item","label","n","value"
"abc.sp0","TAGE-SC-L 192KB",1,1.5455
"abc.sp0","DD-TAGE (Ros)",1,1.2727
"abc.sp0","RUNLTS (no RV)",1,2.1818
"abc.sp0","RUNLTS (load RV)",1,2.1818
"abc.sp2","TAGE-SC-L 192KB",1,2.708
"abc.sp2","DD-TAGE (Ros)",1,2.6151
"abc.sp2","RUNLTS (no RV)",1,3.5797
"abc.sp2","RUNLTS (load RV)",1,3.5216
"cppcheck.sp1","TAGE-SC-L 192KB",1,1.6218
"cppcheck.sp1","DD-TAGE (Ros)",1,2.2776
"cppcheck.sp1","RUNLTS (no RV)",1,2.5042
"cppcheck.sp1","RUNLTS (load RV)",1,2.4684
"cppcheck.sp2","TAGE-SC-L 192KB",1,3.7077
"cppcheck.sp2","DD-TAGE (Ros)",1,6.6631
"cppcheck.sp2","RUNLTS (no RV)",1,21.3326
"cppcheck.sp2","RUNLTS (load RV)",1,21.1177
"cpython.sp0","TAGE-SC-L 192KB",1,0
"cpython.sp0","DD-TAGE (Ros)",1,0
"cpython.sp0","RUNLTS (no RV)",1,0.0425
"cpython.sp0","RUNLTS (load RV)",1,0.0425
"cpython.sp1","TAGE-SC-L 192KB",1,0
"cpython.sp1","DD-TAGE (Ros)",1,0
"cpython.sp1","RUNLTS (no RV)",1,0
"cpython.sp1","RUNLTS (load RV)",1,0
"gcc.sp1","TAGE-SC-L 192KB",1,6.6555
"gcc.sp1","DD-TAGE (Ros)",1,7.4113
"gcc.sp1","RUNLTS (no RV)",1,7.0964
"gcc.sp1","RUNLTS (load RV)",1,6.9494
"gem5.sp1","TAGE-SC-L 192KB",1,2.266
"gem5.sp1","DD-TAGE (Ros)",1,2.786
"gem5.sp1","RUNLTS (no RV)",1,3.3804
"gem5.sp1","RUNLTS (load RV)",1,3.3061
"llvm.sp1","TAGE-SC-L 192KB",1,13.3613
"llvm.sp1","DD-TAGE (Ros)",1,14.1061
"llvm.sp1","RUNLTS (no RV)",1,13.6685
"llvm.sp1","RUNLTS (load RV)",1,13.6406
"llvm.sp2","TAGE-SC-L 192KB",1,2.8068
"llvm.sp2","DD-TAGE (Ros)",1,3.0676
"llvm.sp2","RUNLTS (no RV)",1,6.563
"llvm.sp2","RUNLTS (load RV)",1,6.3126
"ns3.sp0","TAGE-SC-L 192KB",1,4.835
"ns3.sp0","DD-TAGE (Ros)",1,4.835
"ns3.sp0","RUNLTS (no RV)",1,5.3754
"ns3.sp0","RUNLTS (load RV)",1,5.2048
"ns3.sp1","TAGE-SC-L 192KB",1,3.1062
"ns3.sp1","DD-TAGE (Ros)",1,3.6072
"ns3.sp1","RUNLTS (no RV)",1,4.0414
"ns3.sp1","RUNLTS (load RV)",1,3.9078
"ns3.sp2","TAGE-SC-L 192KB",1,4.3395
"ns3.sp2","DD-TAGE (Ros)",1,4.2303
"ns3.sp2","RUNLTS (no RV)",1,4.8035
"ns3.sp2","RUNLTS (load RV)",1,4.7216
"ntest.sp0","TAGE-SC-L 192KB",1,10.3714
"ntest.sp0","DD-TAGE (Ros)",1,14.0399
"ntest.sp0","RUNLTS (no RV)",1,17.8442
"ntest.sp0","RUNLTS (load RV)",1,17.7989
"ntest.sp1","TAGE-SC-L 192KB",1,7.0429
"ntest.sp1","DD-TAGE (Ros)",1,8.1035
"ntest.sp1","RUNLTS (no RV)",1,12.1765
"ntest.sp1","RUNLTS (load RV)",1,11.9644
"ntest.sp2","TAGE-SC-L 192KB",1,1.6495
"ntest.sp2","DD-TAGE (Ros)",1,1.9068
"ntest.sp2","RUNLTS (no RV)",1,2.7996
"ntest.sp2","RUNLTS (load RV)",1,3.5866
"omnetpp.sp0","TAGE-SC-L 192KB",1,18.6053
"omnetpp.sp0","DD-TAGE (Ros)",1,34.1713
"omnetpp.sp0","RUNLTS (no RV)",1,29.243
"omnetpp.sp0","RUNLTS (load RV)",1,29.4987
"omnetpp.sp2","TAGE-SC-L 192KB",1,0.1722
"omnetpp.sp2","DD-TAGE (Ros)",1,0.0783
"omnetpp.sp2","RUNLTS (no RV)",1,0.2035
"omnetpp.sp2","RUNLTS (load RV)",1,0.2348
"sealcrypto.sp0","TAGE-SC-L 192KB",1,87.0457
"sealcrypto.sp0","DD-TAGE (Ros)",1,52.8235
"sealcrypto.sp0","RUNLTS (no RV)",1,86.1904
"sealcrypto.sp0","RUNLTS (load RV)",1,86.1904
