trace,benchmark,weight,config,label,instructions,cycles,ipc,mpki,dir_mpki,cycwpki,accuracy,rv_delivered_pct,speedup,mpki_reduction_pct,dir_mpki_reduction_pct,cycwpki_reduction_pct
706.stockfish_r.sp0,706.stockfish_r,0.1413,cbp_tagescl64,TAGE-SC-L 64KB,200000000,139060942,1.438218,5.1320,4.8244,467.105,95.0400,0.00,1.000000,0.0000,0.0000,0.0000
706.stockfish_r.sp0,706.stockfish_r,0.1413,cbp_tagescl192,TAGE-SC-L 192KB,200000000,138059856,1.448647,4.8510,4.5439,458.882,95.3200,0.00,1.007251,5.4754,5.8152,1.7603
706.stockfish_r.sp0,706.stockfish_r,0.1413,cbp_ddtage,DD-TAGE (Ros),200000000,138159917,1.447598,4.8890,4.5815,459.891,95.2800,0.00,1.006522,4.7350,5.0347,1.5443
706.stockfish_r.sp0,706.stockfish_r,0.1413,cbp_runlts,RUNLTS (no RV),200000003,137785728,1.451529,4.7830,4.4762,457.393,95.3800,0.00,1.009255,6.8005,7.2173,2.0792
706.stockfish_r.sp0,706.stockfish_r,0.1413,cbp_runlts_rv,RUNLTS (load RV),200000000,137725407,1.452165,4.7770,4.4695,457.419,95.3900,20.88,1.009697,6.9174,7.3576,2.0735
706.stockfish_r.sp0,706.stockfish_r,0.1413,cbp_perfdir,Perfect direction,200000000,119241138,1.677273,0.3098,0.0000,61.902,99.7000,0.00,1.166216,93.9634,100.0000,86.7476
706.stockfish_r.sp0,706.stockfish_r,0.1413,cbp_perfall,Perfect direction+target,200000000,117980947,1.695189,0.0000,0.0000,0.000,100.0000,0.00,1.178673,100.0000,100.0000,100.0000
706.stockfish_r.sp1,706.stockfish_r,0.2813,cbp_tagescl64,TAGE-SC-L 64KB,200000003,145839104,1.371374,5.8270,5.5241,489.978,94.5300,0.00,1.000000,0.0000,0.0000,0.0000
706.stockfish_r.sp1,706.stockfish_r,0.2813,cbp_tagescl192,TAGE-SC-L 192KB,200000003,144712300,1.382053,5.4870,5.1834,481.627,94.8500,0.00,1.007787,5.8349,6.1667,1.7044
706.stockfish_r.sp1,706.stockfish_r,0.2813,cbp_ddtage,DD-TAGE (Ros),200000003,144807258,1.381146,5.5320,5.2290,481.661,94.8100,0.00,1.007126,5.0626,5.3411,1.6974
706.stockfish_r.sp1,706.stockfish_r,0.2813,cbp_runlts,RUNLTS (no RV),200000003,144477467,1.384299,5.4100,5.1069,480.227,94.9300,0.00,1.009425,7.1563,7.5515,1.9900
706.stockfish_r.sp1,706.stockfish_r,0.2813,cbp_runlts_rv,RUNLTS (load RV),200000001,144481761,1.384258,5.4190,5.1160,480.081,94.9200,20.93,1.009395,7.0019,7.3875,2.0198
706.stockfish_r.sp1,706.stockfish_r,0.2813,cbp_perfdir,Perfect direction,200000001,123489496,1.619571,0.3041,0.0000,70.967,99.7100,0.00,1.180984,94.7812,100.0000,85.5163
706.stockfish_r.sp1,706.stockfish_r,0.2813,cbp_perfall,Perfect direction+target,200000001,122337666,1.634819,0.0000,0.0000,0.000,100.0000,0.00,1.192103,100.0000,100.0000,100.0000
706.stockfish_r.sp2,706.stockfish_r,0.5774,cbp_tagescl64,TAGE-SC-L 64KB,200000001,141262792,1.415801,5.0610,4.8288,466.664,95.0800,0.00,1.000000,0.0000,0.0000,0.0000
706.stockfish_r.sp2,706.stockfish_r,0.5774,cbp_tagescl192,TAGE-SC-L 192KB,200000001,140304261,1.425473,4.7660,4.5336,457.965,95.3700,0.00,1.006832,5.8289,6.1145,1.8642
706.stockfish_r.sp2,706.stockfish_r,0.5774,cbp_ddtage,DD-TAGE (Ros),200000001,140386670,1.424637,4.8120,4.5795,458.864,95.3200,0.00,1.006241,4.9200,5.1641,1.6714
706.stockfish_r.sp2,706.stockfish_r,0.5774,cbp_runlts,RUNLTS (no RV),200000001,140082134,1.427734,4.7050,4.4726,456.799,95.4300,0.00,1.008428,7.0342,7.3768,2.1139
