"item","trace","dir_norv","dir_rv","delta","delta_pct","speedup","delivered"
"ns3.sp1","753.ns3_r.sp1",0.2141,0.218,-0.00389999999999999,-1.82157870154133,0.999886659932818,37.69
"ns3.sp0","753.ns3_r.sp0",0.4012,0.4072,-0.00600000000000001,-1.49551345962114,0.999687026834392,37.64
"vpr.sp0","734.vpr_r.sp0",1.0324,1.0441,-0.0117,-1.13328167376986,0.999557708894512,35.3
"gem5.sp1","735.gem5_r.sp1",0.2462,0.2484,-0.00220000000000001,-0.893582453290011,1.000051826262,37.68
"ns3.sp2","753.ns3_r.sp2",0.4769,0.4806,-0.00370000000000004,-0.775843992451255,0.999850601975264,37.64
"cppcheck.sp1","727.cppcheck_r.sp1",0.0808,0.0812,-0.000399999999999998,-0.495049504950492,1,35.98
"llvm.sp2","723.llvm_r.sp2",0.6268,0.6292,-0.00239999999999996,-0.382897255902993,0.999886241553834,31.43
"cppcheck.sp2","727.cppcheck_r.sp2",0.0943,0.0946,-0.000300000000000009,-0.318133616118779,0.999843964140961,29.14
"ntest.sp1","707.ntest_r.sp1",1.9832,1.9887,-0.00549999999999984,-0.277329568374336,0.999956061387248,14.33
"gcc.sp1","721.gcc_r.sp1",2.8824,2.8882,-0.00579999999999981,-0.201221204551756,0.999851401124863,31.65
"stockfish.sp2","706.stockfish_r.sp2",4.4726,4.4811,-0.00849999999999973,-0.190046058221163,1.00006723941575,20.84
"stockfish.sp1","706.stockfish_r.sp1",5.1069,5.116,-0.00909999999999922,-0.178190291566297,0.999970382121204,20.93
"llvm.sp1","723.llvm_r.sp1",3.8643,3.8685,-0.00419999999999998,-0.108687213725642,0.999907874399173,31.2
"ntest.sp0","707.ntest_r.sp0",1.7724,1.7737,-0.00130000000000008,-0.073346874294746,1.00016375112476,14.62
"abc.sp2","729.abc_r.sp2",8.2954,8.3001,-0.0046999999999997,-0.0566579067917123,0.999794563702642,32.33
"sqlite.sp0","708.sqlite_r.sp0",0.0328,0.0328,0,0,1,34.87
"cpython.sp0","714.cpython_r.sp0",0.0013,0.0013,0,0,1,34.38
"cpython.sp1","714.cpython_r.sp1",5e-04,5e-04,0,0,1,33.05
"sealcrypto.sp0","750.sealcrypto_r.sp0",0.0102,0.0102,0,0,1,14.01
"sealcrypto.sp2","750.sealcrypto_r.sp2",0.0048,0.0048,0,0,1,16.87
"abc.sp0","729.abc_r.sp0",10.7629,10.7614,0.00150000000000006,0.0139367642549876,1.00000242274668,32.16
"zstd.sp2","777.zstd_r.sp2",1.4323,1.4321,0.000199999999999978,0.0139635551211323,0.999957873059556,15.75
"zstd.sp1","777.zstd_r.sp1",3.8908,3.89,0.000799999999999912,0.0205613241492729,1.00025481170868,16.94
"zstd.sp0","777.zstd_r.sp0",3.8883,3.8866,0.00170000000000003,0.0437209063086705,1.00036753996676,16.87
"stockfish.sp0","706.stockfish_r.sp0",4.4762,4.4695,0.00670000000000037,0.14968053259462,1.0004381586589,20.88
"omnetpp.sp2","710.omnetpp_r.sp2",0.8882,0.8866,0.00159999999999993,0.180139608196345,1.00013675393826,40.12
"vpr.sp1","734.vpr_r.sp1",0.3067,0.3058,0.000899999999999956,0.293446364525581,1.00011334813672,30.8
"omnetpp.sp0","710.omnetpp_r.sp0",4.7232,4.7053,0.0179,0.378980352303524,1.00098847075701,32.88
"ntest.sp2","707.ntest_r.sp2",0.5796,0.5744,0.00519999999999998,0.897170462387851,1.00018306336196,13.72
"sqlite.sp1","708.sqlite_r.sp1",1.6381,1.6188,0.0192999999999999,1.17819424943531,1.00020552575675,33.72
"sealcrypto.sp1","750.sealcrypto_r.sp1",0.0703,0.068,0.0023,3.27169274537695,1.00020152266281,15.49
"sqlite.sp2","708.sqlite_r.sp2",0.5803,0.5112,0.0691000000000001,11.9076339824229,1.00400090463082,32.78
