"item","label","n","value"
"abc.sp0","TAGE-SC-L 192KB",1,1.004076
"abc.sp0","DD-TAGE (Ros)",1,1.003138
"abc.sp0","RUNLTS (no RV)",1,1.005743
"abc.sp0","RUNLTS (load RV)",1,1.005745
"abc.sp2","TAGE-SC-L 192KB",1,1.006352
"abc.sp2","DD-TAGE (Ros)",1,1.005988
"abc.sp2","RUNLTS (no RV)",1,1.008193
"abc.sp2","RUNLTS (load RV)",1,1.007986
"cppcheck.sp1","TAGE-SC-L 192KB",1,1.000896
"cppcheck.sp1","DD-TAGE (Ros)",1,1.001043
"cppcheck.sp1","RUNLTS (no RV)",1,1.000676
"cppcheck.sp1","RUNLTS (load RV)",1,1.000676
"cppcheck.sp2","TAGE-SC-L 192KB",1,1.000253
"cppcheck.sp2","DD-TAGE (Ros)",1,1.000799
"cppcheck.sp2","RUNLTS (no RV)",1,1.002542
"cppcheck.sp2","RUNLTS (load RV)",1,1.002386
"cpython.sp0","TAGE-SC-L 192KB",1,1
"cpython.sp0","DD-TAGE (Ros)",1,1
"cpython.sp0","RUNLTS (no RV)",1,1
"cpython.sp0","RUNLTS (load RV)",1,1
"cpython.sp1","TAGE-SC-L 192KB",1,1
"cpython.sp1","DD-TAGE (Ros)",1,1
"cpython.sp1","RUNLTS (no RV)",1,1
"cpython.sp1","RUNLTS (load RV)",1,1
"gcc.sp1","TAGE-SC-L 192KB",1,1.010615
"gcc.sp1","DD-TAGE (Ros)",1,1.011543
"gcc.sp1","RUNLTS (no RV)",1,1.011016
"gcc.sp1","RUNLTS (load RV)",1,1.010865
"gem5.sp1","TAGE-SC-L 192KB",1,1.002926
"gem5.sp1","DD-TAGE (Ros)",1,1.003513
"gem5.sp1","RUNLTS (no RV)",1,1.004089
"gem5.sp1","RUNLTS (load RV)",1,1.004141
"llvm.sp1","TAGE-SC-L 192KB",1,1.050321
"llvm.sp1","DD-TAGE (Ros)",1,1.053093
"llvm.sp1","RUNLTS (no RV)",1,1.051385
"llvm.sp1","RUNLTS (load RV)",1,1.051288
"llvm.sp2","TAGE-SC-L 192KB",1,1.001183
"llvm.sp2","DD-TAGE (Ros)",1,1.001067
"llvm.sp2","RUNLTS (no RV)",1,1.002326
"llvm.sp2","RUNLTS (load RV)",1,1.002212
"ns3.sp0","TAGE-SC-L 192KB",1,1.006094
"ns3.sp0","DD-TAGE (Ros)",1,1.006194
"ns3.sp0","RUNLTS (no RV)",1,1.006834
"ns3.sp0","RUNLTS (load RV)",1,1.006518
"ns3.sp1","TAGE-SC-L 192KB",1,1.003682
"ns3.sp1","DD-TAGE (Ros)",1,1.004329
"ns3.sp1","RUNLTS (no RV)",1,1.004759
"ns3.sp1","RUNLTS (load RV)",1,1.004645
"ns3.sp2","TAGE-SC-L 192KB",1,1.005924
"ns3.sp2","DD-TAGE (Ros)",1,1.005921
"ns3.sp2","RUNLTS (no RV)",1,1.006513
"ns3.sp2","RUNLTS (load RV)",1,1.006363
"ntest.sp0","TAGE-SC-L 192KB",1,1.006828
"ntest.sp0","DD-TAGE (Ros)",1,1.009424
"ntest.sp0","RUNLTS (no RV)",1,1.010927
"ntest.sp0","RUNLTS (load RV)",1,1.011092
"ntest.sp1","TAGE-SC-L 192KB",1,1.004893
"ntest.sp1","DD-TAGE (Ros)",1,1.005572
"ntest.sp1","RUNLTS (no RV)",1,1.007572
"ntest.sp1","RUNLTS (load RV)",1,1.007528
"ntest.sp2","TAGE-SC-L 192KB",1,1.000322
"ntest.sp2","DD-TAGE (Ros)",1,1.000384
"ntest.sp2","RUNLTS (no RV)",1,1.000463
"ntest.sp2","RUNLTS (load RV)",1,1.000646
"omnetpp.sp0","TAGE-SC-L 192KB",1,1.052571
"omnetpp.sp0","DD-TAGE (Ros)",1,1.101472
"omnetpp.sp0","RUNLTS (no RV)",1,1.086547
"omnetpp.sp0","RUNLTS (load RV)",1,1.087622
"omnetpp.sp2","TAGE-SC-L 192KB",1,1.000582
"omnetpp.sp2","DD-TAGE (Ros)",1,1.000091
"omnetpp.sp2","RUNLTS (no RV)",1,1.000399
"omnetpp.sp2","RUNLTS (load RV)",1,1.000535
"sealcrypto.sp0","TAGE-SC-L 192KB",1,1.001627
"sealcrypto.sp0","DD-TAGE (Ros)",1,1.000969
"sealcrypto.sp0","RUNLTS (no RV)",1,1.001606
"sealcrypto.sp0","RUNLTS (load RV)",1,1.001606
"sealcrypto.sp1","TAGE-SC-L 192KB",1,1.004181
"sealcrypto.sp1","DD-TAGE (Ros)",1,1.002712
"sealcrypto.sp1","RUNLTS (no RV)",1,1.004098
"sealcrypto.sp1","RUNLTS (load RV)",1,1.0043
"sealcrypto.sp2","TAGE-SC-L 192KB",1,0.999906
"sealcrypto.sp2","DD-TAGE (Ros)",1,0.999879
"sealcrypto.sp2","RUNLTS (no RV)",1,0.999939
"sealcrypto.sp2","RUNLTS (load RV)",1,0.999939
"sqlite.sp0","TAGE-SC-L 192KB",1,1.000069
"sqlite.sp0","DD-TAGE (Ros)",1,1.000151
"sqlite.sp0","RUNLTS (no RV)",1,0.999862
"sqlite.sp0","RUNLTS (load RV)",1,0.999862
"sqlite.sp1","TAGE-SC-L 192KB",1,1.001484
"sqlite.sp1","DD-TAGE (Ros)",1,1.000947
"sqlite.sp1","RUNLTS (no RV)",1,1.004507
"sqlite.sp1","RUNLTS (load RV)",1,1.004714
"sqlite.sp2","TAGE-SC-L 192KB",1,1.000617
"sqlite.sp2","DD-TAGE (Ros)",1,1.001006
"sqlite.sp2","RUNLTS (no RV)",1,1.000781
"sqlite.sp2","RUNLTS (load RV)",1,1.004785
"stockfish.sp0","TAGE-SC-L 192KB",1,1.007251
"stockfish.sp0","DD-TAGE (Ros)",1,1.006522
"stockfish.sp0","RUNLTS (no RV)",1,1.009255
"stockfish.sp0","RUNLTS (load RV)",1,1.009697
"stockfish.sp1","TAGE-SC-L 192KB",1,1.007787
"stockfish.sp1","DD-TAGE (Ros)",1,1.007126
"stockfish.sp1","RUNLTS (no RV)",1,1.009425
"stockfish.sp1","RUNLTS (load RV)",1,1.009395
"stockfish.sp2","TAGE-SC-L 192KB",1,1.006832
"stockfish.sp2","DD-TAGE (Ros)",1,1.006241
"stockfish.sp2","RUNLTS (no RV)",1,1.008428
"stockfish.sp2","RUNLTS (load RV)",1,1.008496
"vpr.sp0","TAGE-SC-L 192KB",1,1.003047
"vpr.sp0","DD-TAGE (Ros)",1,1.002902
"vpr.sp0","RUNLTS (no RV)",1,1.006184
"vpr.sp0","RUNLTS (load RV)",1,1.00574
"vpr.sp1","TAGE-SC-L 192KB",1,0.99984
"vpr.sp1","DD-TAGE (Ros)",1,1.000169
"vpr.sp1","RUNLTS (no RV)",1,1.000017
"vpr.sp1","RUNLTS (load RV)",1,1.000131
"zstd.sp0","TAGE-SC-L 192KB",1,1.000417
"zstd.sp0","DD-TAGE (Ros)",1,1.00003
"zstd.sp0","RUNLTS (no RV)",1,1.000085
"zstd.sp0","RUNLTS (load RV)",1,1.000453
"zstd.sp1","TAGE-SC-L 192KB",1,1.000538
"zstd.sp1","DD-TAGE (Ros)",1,1.000464
"zstd.sp1","RUNLTS (no RV)",1,1.000183
"zstd.sp1","RUNLTS (load RV)",1,1.000437
"zstd.sp2","TAGE-SC-L 192KB",1,1.000231
"zstd.sp2","DD-TAGE (Ros)",1,1.000395
"zstd.sp2","RUNLTS (no RV)",1,1.000385
"zstd.sp2","RUNLTS (load RV)",1,1.000343
"GEOMEAN","TAGE-SC-L 192KB",32,1.00590866789779
"GEOMEAN","DD-TAGE (Ros)",32,1.00742180007867
"GEOMEAN","RUNLTS (no RV)",32,1.00782705665611
"GEOMEAN","RUNLTS (load RV)",32,1.00799450868902
