before_rebase	after_rebase	subject
259597935d925ba10e8cf4e944b8ec2afa9e9bda	78d240615dd23723ed57a99e8f0e1dbddccc0a30	ptw: add optional fixed-latency translation for speed studies
17bd7fd59ee81f7d15ffa4a99737f37564f0fe25	290e46ee026cf209b8385188b4b6e15aa9332e2a	ptw: allow fixed translation timers in the default watchdog
b1fb06b9eab8caee9c5464e82f50e5c070097fa0	8782efca4bab34c63b0f2e491705adf79f137991	perf: document legacy PTW benchmarks and measured simulator hotspots
3991ee752a665eb9e1530b24ca6faf31d5d48ce2	c3049af837b5bbf98f0af615b31b61535f728c87	perf: establish sequential optimization log and parity measurements
cf23636c735f97f9c980e78272aaf1f9c8a0f78b	4c86c987f211b9f7129f789c5819e912ff9ff9ad	perf: check allocation counter output writes
e6f937e421c868ac9ee01788d37aeacad6c13797	60c6f42beeda1e76b8c2686f550da87739bb5943	test: keep performance parity checks active under optimized Python
fbcc11ff1d9d99d67733be72adfd7b09bc8d0647	ef934ab4ef00da82b73b41a3eaed062f4632e588	perf: skip cache bandwidth debug allocations in release builds
ebe6081e657140efd5f89790aed353973372aedb	c376c975d35a02fa4e9d5f06bb3cb0c936d95b72	docs: record inert cache debug-allocation fix and paired KIPS
482d080f0fe154e22af1a863d5d11aaaa25fcd04	6da91170cdfd92e28645ef3c2e0e5e43af3bee8d	perf: reuse phase-local scheduler and CPU views without changing order
c9d643fc69acf5da99b4031016260581b1922a8c	a09d3d097756c4abeeb4df5109d0052f4e1b1b22	docs: record scheduler allocation fix, phase regressions and KIPS
bb3f195720d134bd0d46a0f9649062234832f856	f3ca4b93c2148bfbbed3ec03cc0be00ca7e933d8	perf: inline bandwidth accounting while preserving exhaustion semantics
5da1d1fc53de84541d08a4fe86c526e8b7a2352f	a53da3cb7d69cb0c85dd2da260990e8bbef54875	docs: record bandwidth speedup and SMT-contention repeat
63b047673b154f01cbf6e9a3fc19f16c53748bec	5e8ae9f9a5b279d32093c70f3bf25d1c25661a97	perf: skip zero-width legacy DRAM swizzle work
d49f2ea5a7e6adb84a39fd85cc685ae47c6cd78e	9e538fee31c6dd0da203cd36e560afabe815163e	docs: record zero-width DRAM speedup and mapping coverage
2a7940b2efc521057f0a263d09e29386c05d4e06	736551bcf050ae4bb975f28c9c1c53d19b205c9f	perf: skip LSQ readiness scans for absent memory operands
6ead68fa5e0198a391aa1e0f6ce9b09eef376954	319bf4678c08c14fd7ad649537fb5f6ba48c529b	docs: record inert LSQ scan guards and paired throughput
f7ee81b9da04de212f89972795b9cdb2e4c56f9a	d96b8e94fcf65effd8c06ae5ac46b19429a1636c	perf: move trace instructions through consumed frontend queues
2c275ed07ed8f40160438c3d9fbe08ddd1848386	6a918c2a8916094eeaa3883907ab63dc070478e5	docs: record inert trace moves, payload checks and paired KIPS
2b4cbcb41da7c6063a2180e2771337ac81d7ab7b	7397ae5db698fcb2f29569e606aeb1aa04488a1c	docs: record cumulative speedups and remaining stress coverage
d1c80c4a9d032b6297131d3c4d99c488a4cb3b5a	d4dd7b391403213956ba371ee5b9a6c127061d80	docs: record Linux perf hotspots and next optimization targets
dae9774029548465b67120a1930d0216a67a8889	6fa60ab4535532385c7da174d8443e819d38d37c	perf: define extended regression gate and configurable run timeout
78679b11c9dbad609c5c4e7f531981bbccb1a1c8	9124c179652b168d628b9916c70be54468d6adc2	perf: isolate trace refill stack from instruction reads
df1474b18f4dfe4c5f76571dfe10c49d369c85b2	5b0f5f7eded51849897443efaae5f2d8b046745f	docs: record trace refill neutrality and throughput gains
1655c953bf96d2326dc3ec008da1ade7d022d66d	e21ef5f63d3ef7b54079cc6b032995204e45b805	trace: avoid copying raw records during refill and conversion
3bcb0f7b40a03e5ce409304767a8b0f3bc8fd893	b12d40453c556cd7f902a649c271a10137d66f81	docs: record raw trace copy optimization and timing repeat
1d47029745a53c4ea2d03c7a6ed210b289c88243	6ccd71e959e28d6a018b299d0cfccc031e48c19f	test: characterize register queries after inlining experiments
f8d7e93204ee58f86f1fba23311497f9db8c3b7d	8d5332ff980d6384d91345e51aedd734f866fb9a	docs: record deferred register inlining and preserved regressions
3c1646dc35c6b75ee75224791251021695e6adbb	0baebd27312f4e4e379428402a55b3e0d2f51e78	test: characterize runtime extent size bounds
740a26ac74e77aebe6046a989fb90a3ae3657fdc	c2a60e5bec799bdc6f144f29f7a61419a7bda444	docs: record extent inlining trials and long regression results
461e16d01410ab6529a2545f990a121da8389780	3140c4824316558d29245bbe8df3010e3d2817ac	cache: Skip queue helpers when no work can progress
8d15d222cfd902e3058004f2c4c3498f12b95eae	c49b54c93a03b5ef4c167a7001da6374a7d079b3	docs: Record cache guard parity and paired KIPS gains
10424c97d1da1b536b408d595ca01abbaec1cc08	92095b9fab503236c1a8ff50dee732a56b5810be	docs: Reprofile cache guards and justify conservative ROB work
7af4b39b0d0ff476349c7b74b7565139649ca7f2	8c9c648f4470b10639489307e96b9af4d2001796	docs: Record all-workload cache guard regression parity
